Resp_individually_all.csv,LpcResp_alpha0.2_all.csv,LpcResp_alpha0.2_min10-20.csv,LpcResp_alpha0.2_min10-25.csv,LpcResp_alpha0.4_all.csv,LpcResp_alpha0.4_min10-20.csv,LpcResp_alpha0.4_min10-25.csv,LpcResp_alpha0.6_all.csv,LpcResp_alpha0.6_min10-20.csv,LpcResp_alpha0.6_min10-25.csv,Date,SDR_pos,RUN,tank,Day,Treat1_Treat2,Init.treat,Sec.treat,EXP.numb,ID
0.283675084,0.325055681,0.268643344,0.29110032,0.213132865,0.271333206,0.289297561,0.290006659,0.273895963,0.209451166,20180716,A1,1,H0_T,2,Low_Ambient,Low,NA,EXP1,1
0.294735485,0.144793624,0.260013882,0.292501203,0.173152907,0.262825853,0.290616606,0.189200487,0.301737125,0.28852872,20180716,A2,1,H0_T,2,Low_Ambient,Low,NA,EXP1,2
0.248473291,0.026045939,0.203638813,0.226380168,0.397089232,0.206362738,0.199204625,0.237552135,0.192549808,0.086276625,20180716,A3,1,H0_T,2,Low_Ambient,Low,NA,EXP1,3
0.37146188,0.37146188,0.436704566,0.311729159,0.410768396,0.469746055,0.326465718,0.413043146,0.380870195,0.38714498,20180716,A4,1,H1_T,2,Ambient_Low,Ambient,NA,EXP1,4
0.480127824,0.480127824,0.226802311,0.211352223,0.296633901,0.492333305,0.485152334,0.331959404,0.484432071,0.299220147,20180716,A5,1,H1_T,2,Ambient_Low,Ambient,NA,EXP1,5
0.446824468,0.041156601,0.420452372,0.40537265,0.500497155,0.419798935,0.470427521,0.494002754,0.472072901,0.46821821,20180716,A6,1,H1_T,2,Ambient_Low,Ambient,NA,EXP1,6
0.191016749,0.038442728,0.1218708,0.155618624,0.183035268,0.122007908,0.165930464,0.15236308,0.14136529,0.176813605,20180716,B1,1,H0_B,2,Low_Low,Low,NA,EXP1,7
0.18019159,0.126118289,0.259534368,0.25698818,0.161761453,0.262127708,0.228781067,0.167743684,0.272712211,0.159433712,20180716,B2,1,H0_B,2,Low_Low,Low,NA,EXP1,8
0.068888145,0.068888145,0.281788678,0.070740171,0.076778959,0.296525452,0.327701862,0.158393247,0.301889596,0.079269761,20180716,B3,1,H0_B,2,Low_Low,Low,NA,EXP1,9
0.25625927,0.25625927,0.206083432,0.234159791,0.205909497,0.215324856,0.240531752,0.193781999,0.222177666,0.270522053,20180716,B4,1,H1_B,2,Ambient_Ambient,Ambient,NA,EXP1,10
0.135194374,0.135194374,0.120042382,0.115507598,0.156885964,0.130024279,0.099520328,0.125892457,0.12829866,0.11498822,20180716,B5,1,H1_B,2,Ambient_Ambient,Ambient,NA,EXP1,11
0.350914299,0.350914299,0.416889038,0.143397056,0.40386903,0.418085747,0.142873901,0.300958328,0.418085747,0.229898292,20180716,B6,1,H1_B,2,Ambient_Ambient,Ambient,NA,EXP1,12
0.097012788,0.055792551,0.081967882,0.120419587,0.093136236,0.081471295,0.132593944,0.115184976,0.082917349,0.136597865,20180716,A1,2,H2_T,2,Ambient_Low,Ambient,NA,EXP1,13
0.250288419,0.186792043,0.183001902,0.187642447,0.246189587,0.18254398,0.186526693,0.184501381,0.177145012,0.191442181,20180716,A2,2,H2_T,2,Ambient_Low,Ambient,NA,EXP1,14
0.039486566,0.039486566,0.114426655,0.119075643,0.011300459,0.1139679,0.041216525,0.034997789,0.080299267,0.036615279,20180716,A3,2,H2_T,2,Ambient_Low,Ambient,NA,EXP1,15
0.261548641,0.261548641,0.22705477,0.249787717,0.297412488,0.226270459,0.248714842,0.292543647,0.222538304,0.248387324,20180716,A4,2,H3_T,2,Low_Ambient,Low,NA,EXP1,16
0.621954538,0.621954538,0.494654994,0.254289878,0.600094696,0.493868434,0.262368851,0.487241884,0.490125577,0.351302743,20180716,A5,2,H3_T,2,Low_Ambient,Low,NA,EXP1,17
0.110442275,0.110442275,0.262431933,0.310295825,0.14287373,0.261706074,0.264123306,0.178531973,0.258252068,0.206966962,20180716,A6,2,H3_T,2,Low_Ambient,Low,NA,EXP1,18
0.325411526,0.325411526,0.372746046,0.323855349,0.370024924,0.37287123,0.324587299,0.327205968,0.362718448,0.34702975,20180716,B1,2,H2_B,2,Ambient_Ambient,Ambient,NA,EXP1,19
0.304887289,0.304887289,0.330973791,0.296899672,0.33641115,0.331100122,0.296899672,0.370947584,0.331546799,0.302102332,20180716,B2,2,H2_B,2,Ambient_Ambient,Ambient,NA,EXP1,20
0.081557532,0.081557532,0.098891869,0.067077533,0.114936519,0.070128087,0.084419641,0.119827585,0.075117324,0.088531879,20180716,B3,2,H2_B,2,Ambient_Ambient,Ambient,NA,EXP1,21
0.230486611,0.230486611,0.110197347,0.140440514,0.259184196,0.109914016,0.14003401,0.245422381,0.129575945,0.185833146,20180716,B4,2,H3_B,2,Low_Low,Low,NA,EXP1,22
0.209312644,0.209312644,0.115509634,0.153897878,0.235453833,0.115238527,0.153508911,0.220081718,0.116242658,0.143128511,20180716,B5,2,H3_B,2,Low_Low,Low,NA,EXP1,23
0.133409919,0.133409919,0.044417041,0.098215009,0.163757613,0.054199693,0.097399721,0.163128266,0.054335287,0.097712393,20180716,B6,2,H3_B,2,Low_Low,Low,NA,EXP1,24
0.035548816,0.035548816,0.227876029,0.258573949,0.034829733,0.209735666,-0.117415988,0.024451099,0.206568831,0.051525156,20180719,A1,1,H0_T,5,Low_Ambient,Low,NA,EXP1,25
0.199008315,0.199008315,0.032473665,0.060554742,0.214164701,0.026024355,0.195137017,0.070581491,0.116804461,0.192204277,20180719,A2,1,H0_T,5,Low_Ambient,Low,NA,EXP1,26
0.198167237,0.198167237,0.146521605,0.176720748,0.20485424,0.139585844,0.176439437,0.19338606,0.140562137,0.16588599,20180719,A3,1,H0_T,5,Low_Ambient,Low,NA,EXP1,27
0.233071942,0.233071942,0.056376814,0.092211785,0.236659424,0.065715707,0.092211785,0.230658519,0.063912806,0.087372677,20180719,A4,1,H1_T,5,Ambient_Low,Ambient,NA,EXP1,28
0.637264307,0.639578321,0.326306194,0.146763575,0.203810597,0.173334834,0.231448438,0.148735623,0.479041499,0.231448438,20180719,A5,1,H1_T,5,Ambient_Low,Ambient,NA,EXP1,29
0.37254001,0.37254001,0.346895031,0.373175681,0.364375541,0.346425798,0.373175681,0.397217758,0.344703431,0.343642535,20180719,A6,1,H1_T,5,Ambient_Low,Ambient,NA,EXP1,30
0.128700007,0.128700007,0.027192609,0.102925417,0.044427776,0.019481298,0.102925417,0.02073808,0.026110534,0.096416585,20180719,B1,1,H0_B,5,Low_Low,Low,NA,EXP1,31
0.038028186,0.038028186,-0.227700544,-0.157694238,0.035543195,-0.002580708,-0.110291054,0.011755504,-0.003245479,-0.070845256,20180719,B2,1,H0_B,5,Low_Low,Low,NA,EXP1,32
0.151807718,0.151807718,0.258060539,0.157379657,0.149221555,0.244565534,0.157379657,0.246913466,0.356806947,0.164171253,20180719,B3,1,H0_B,5,Low_Low,Low,NA,EXP1,33
0.441399922,0.117101532,0.196706369,0.252255288,0.426366131,0.198488841,0.274699399,0.361421974,0.238134252,0.460180127,20180719,B4,1,H1_B,5,Ambient_Ambient,Ambient,NA,EXP1,34
0.290327712,0.290327712,0.156444234,0.244604768,0.275645043,0.191365929,0.241877256,0.250818523,0.213972757,0.238571132,20180719,B5,1,H1_B,5,Ambient_Ambient,Ambient,NA,EXP1,35
0.205500966,0.205500966,0.019303398,0.168226339,0.190975908,0.048251439,0.16538469,0.16107734,0.058672512,0.151643617,20180719,B6,1,H1_B,5,Ambient_Ambient,Ambient,NA,EXP1,36
0.189760949,0.189760949,0.278393251,0.068888672,0.153877114,0.279701876,0.291159025,0.189707759,0.282525692,0.28638393,20180719,A1,2,H2_T,5,Ambient_Low,Ambient,NA,EXP1,37
0.163194045,0.163194045,0.354526414,0.242502607,0.162419322,0.372795379,0.241735245,0.173113658,0.371506702,0.176608048,20180719,A2,2,H2_T,5,Ambient_Low,Ambient,NA,EXP1,38
0.344311295,0.36019375,0.368237335,0.381449834,0.3594261,0.368237335,0.380689478,0.357163863,0.371306385,0.326702639,20180719,A3,2,H2_T,5,Ambient_Low,Ambient,NA,EXP1,39
0.105874986,0.103147892,0.011903884,0.024180884,0.09703957,0.011903884,0.023221884,0.086650119,0.007071739,0.050530334,20180719,A4,2,H3_T,5,Low_Ambient,Low,NA,EXP1,40
0.059959882,0.067936342,-0.073227615,-0.022534424,0.058491143,0.17392103,-0.151270243,0.054695077,0.184140242,-0.102851044,20180719,A5,2,H3_T,5,Low_Ambient,Low,NA,EXP1,41
0.099161908,0.064517407,0.221042896,0.175677182,0.084723484,0.156924526,0.174713845,0.109759762,0.168103457,0.180172306,20180719,A6,2,H3_T,5,Low_Ambient,Low,NA,EXP1,42
0.15323282,0.15323282,0.05030549,0.086789043,0.147663528,0.04355502,0.130225124,0.107076888,-0.0720695,0.127522924,20180719,B1,2,H2_B,5,Ambient_Ambient,Ambient,NA,EXP1,43
0.152993409,0.152993409,0.0588795,0.033326128,0.147424323,0.056915325,0.075695323,0.113942132,0.02776302,0.072993224,20180719,B2,2,H2_B,5,Ambient_Ambient,Ambient,NA,EXP1,44
0.327187939,0.327187939,0.379959219,0.371538613,0.321734421,0.374958073,0.388251489,0.321866135,0.355735414,0.38550084,20180719,B3,2,H2_B,5,Ambient_Ambient,Ambient,NA,EXP1,45
0.20275453,0.216029552,-0.015855309,0.005331397,0.213469585,-0.019533442,0.369401607,0.206681936,0.041464532,0.187520213,20180719,B4,2,H3_B,5,Low_Low,Low,NA,EXP1,46
0.350373758,0.363763593,0.398996924,0.337799473,0.361181485,0.39528698,0.336414776,0.317664858,0.369274917,0.33221948,20180719,B5,2,H3_B,5,Low_Low,Low,NA,EXP1,47
0.191897532,0.205428104,0.608540313,0.418884112,0.157189923,0.581791859,0.407609469,0.230436634,0.431740942,0.473740287,20180719,B6,2,H3_B,5,Low_Low,Low,NA,EXP1,48
0.074259171,-0.021674159,-0.191145323,-0.049502105,0.071841514,0.138417323,-0.037126705,0.035046189,0.229672597,0.113408054,20180722,A1,1,H0_T,8,Low_Ambient,Low,NA,EXP1,49
0.375059001,0.01212219,0.251220416,0.018121886,0.032801545,0.357287475,0.017143338,0.403008943,0.332840475,0.355743296,20180722,A2,1,H0_T,8,Low_Ambient,Low,NA,EXP1,50
0.080506862,0.037182142,0.091033212,0.119098419,0.112950984,0.057742053,0.11879988,0.150009393,0.058506062,0.119827791,20180722,A3,1,H0_T,8,Low_Ambient,Low,NA,EXP1,51
0.124097756,0.054328296,0.046073958,0.098787835,0.43749054,0.405631501,0.129540562,0.445273604,0.331258904,0.251708459,20180722,A4,1,H1_T,8,Ambient_Low,Ambient,NA,EXP1,52
0.482214271,0.410967708,0.335959266,0.273873293,0.408587586,0.305655932,0.272787429,0.468304249,0.309767213,0.306524103,20180722,A5,1,H1_T,8,Ambient_Low,Ambient,NA,EXP1,53
0.187999988,0.235143484,0.236391312,0.271955395,0.137782904,0.243463818,0.270887689,0.145597846,0.247506352,0.30406024,20180722,A6,1,H1_T,8,Ambient_Low,Ambient,NA,EXP1,54
0.532486681,0.491348978,0.389154895,0.241296843,0.508174794,0.374953073,0.122482784,0.157927382,0.429748036,0.104203342,20180722,B1,1,H0_B,8,Low_Low,Low,NA,EXP1,55
0.126631437,0.083689555,0.127008105,0.172196997,0.040850317,0.081315977,0.177495678,-0.015478509,0.131778657,0.082691733,20180722,B2,1,H0_B,8,Low_Low,Low,NA,EXP1,56
0.305663524,0.260435916,0.033832175,0.197490344,1.252277251,0.083254232,0.203071065,0.381833396,0.146588669,0.182974284,20180722,B3,1,H0_B,8,Low_Low,Low,NA,EXP1,57
0.447098481,-0.056802842,0.812866631,-0.194276524,0.438613985,0.789953445,0.335032094,0.395442324,0.758284244,0.350284951,20180722,B4,1,H1_B,8,Ambient_Ambient,Ambient,NA,EXP1,58
0.314476514,0.3257655,0.654588716,0.373204931,0.307586165,0.635980677,0.358348291,0.412961408,0.604439624,0.370735297,20180722,B5,1,H1_B,8,Ambient_Ambient,Ambient,NA,EXP1,59
0.225746078,0.205864976,0.274916432,0.216954372,0.237852198,0.255885704,0.229667378,0.327617499,0.24387915,0.242335759,20180722,B6,1,H1_B,8,Ambient_Ambient,Ambient,NA,EXP1,60
0.194844571,0.194844571,0.202229586,0.22397719,0.195796149,0.205834513,0.225573549,0.192934148,0.215925492,0.225573549,20180722,A1,2,H2_T,8,Ambient_Low,Ambient,NA,EXP1,61
0.145273657,0.145273657,0.209704496,0.144197163,0.158833788,0.209704496,0.145786221,0.150524947,0.139085299,0.145786221,20180722,A2,2,H2_T,8,Ambient_Low,Ambient,NA,EXP1,62
0.100618362,0.100618362,0.227762192,0.07709976,0.099561822,0.218859622,0.090133435,0.158895392,0.228743834,0.090133435,20180722,A3,2,H2_T,8,Ambient_Low,Ambient,NA,EXP1,63
0.201438383,0.201438383,0.473759411,0.16007879,0.146257209,0.452686596,0.159304126,0.287178883,0.235932309,0.170001646,20180722,A4,2,H3_T,8,Low_Ambient,Low,NA,EXP1,64
0.21960126,0.36253834,0.275358143,0.283837377,0.20663001,0.303609536,0.306010848,0.197261925,0.302545429,0.166497158,20180722,A5,2,H3_T,8,Low_Ambient,Low,NA,EXP1,65
0.197111763,0.197111763,0.113474082,0.139603804,0.176565533,0.121930586,0.139470317,0.141645858,0.122156464,0.139470317,20180722,A6,2,H3_T,8,Low_Ambient,Low,NA,EXP1,66
0.058483542,0.057211771,0.286623315,0.074855416,0.102444582,0.286623315,0.075647564,0.228175215,0.056950326,0.069445468,20180722,B1,2,H2_B,8,Ambient_Ambient,Ambient,NA,EXP1,67
0.142814057,0.201733988,0.148308793,0.051985251,0.051832143,0.145716376,0.165211197,0.086851433,0.152191522,0.138264806,20180722,B2,2,H2_B,8,Ambient_Ambient,Ambient,NA,EXP1,68
0.094013822,0.130832015,-0.013894818,-0.000410679,0.124364257,-0.013894818,0.093477193,0.11588198,0.019498673,0.08750785,20180722,B3,2,H2_B,8,Ambient_Ambient,Ambient,NA,EXP1,69
0.196625976,0.090599973,0.120944225,0.146352703,0.059883013,0.132997323,0.177643924,0.268446941,0.169350993,0.269671088,20180722,B4,2,H3_B,8,Low_Low,Low,NA,EXP1,70
0.337828342,0.032888064,0.244183284,0.268398182,0.374644116,0.25567018,0.268398182,0.373733825,0.260494817,0.293893847,20180722,B5,2,H3_B,8,Low_Low,Low,NA,EXP1,71
0.183467785,0.035303413,0.202932599,0.227843537,0.042468399,0.127856412,0.140950271,0.151430044,0.13281973,0.148935953,20180722,B6,2,H3_B,8,Low_Low,Low,NA,EXP1,72
0.102128016,0.073343733,0.260001186,0.204412363,0.096067147,0.261342395,0.198812207,0.138736391,0.245140379,0.195651979,20180724,A1,1,H0_T,10,Low_Ambient,Low,NA,EXP1,73
0.224990821,0.224990821,0.235962522,0.239421568,0.221726357,0.240263229,0.238395218,0.202766519,0.234021115,0.240619088,20180724,A2,1,H0_T,10,Low_Ambient,Low,NA,EXP1,74
0.109324211,0.08269434,0.329178275,0.293366959,0.103185613,0.329241894,0.339898259,0.152534412,0.322521064,0.100931984,20180724,A3,1,H0_T,10,Low_Ambient,Low,NA,EXP1,75
0.297822818,0.301320239,0.272405582,0.157604537,0.127576901,0.343844097,0.399075735,0.300395396,0.337696503,0.396360262,20180724,A4,1,H1_T,10,Ambient_Low,Ambient,NA,EXP1,76
0.308807207,0.312041015,0.25002133,0.242438123,0.311379183,0.286611397,0.277901932,0.287372473,0.269714073,0.275391133,20180724,A5,1,H1_T,10,Ambient_Low,Ambient,NA,EXP1,77
0.319736992,0.322866154,0.280805411,0.304635127,0.32223868,0.280805411,0.310569514,0.318634928,0.287668101,0.308078442,20180724,A6,1,H1_T,10,Ambient_Low,Ambient,NA,EXP1,78
0.211281467,0.168321448,0.238401735,0.08869873,0.168321448,0.273934893,0.107055595,0.189112042,0.271146427,0.103052286,20180724,B1,1,H0_B,10,Low_Low,Low,NA,EXP1,79
0.265301588,0.269019068,0.259372885,0.267279419,0.269019068,0.150194536,0.269848583,0.225472196,0.147404339,0.26584279,20180724,B2,1,H0_B,10,Low_Low,Low,NA,EXP1,80
0.197996148,0.201442487,0.155136024,0.178774308,0.199638916,0.154746152,0.181156086,0.16593517,0.152159463,0.177442463,20180724,B3,1,H0_B,10,Low_Low,Low,NA,EXP1,81
0.235413112,0.24673681,0.263065107,0.228193976,0.227772404,0.273851224,0.226740634,0.257864954,0.272959105,0.202305061,20180724,B4,1,H1_B,10,Ambient_Ambient,Ambient,NA,EXP1,82
0.284397393,0.295421358,0.443464888,0.448284376,0.264623371,0.453965501,0.272275419,0.308860154,0.454916479,0.243576573,20180724,B5,1,H1_B,10,Ambient_Ambient,Ambient,NA,EXP1,83
0.261451588,0.272215865,0.241485388,0.244139651,0.260686402,0.254403951,0.255818201,0.24186893,0.253555905,0.249478076,20180724,B6,1,H1_B,10,Ambient_Ambient,Ambient,NA,EXP1,84
0.325211865,0.334548341,0.314134274,0.318948388,0.340856286,0.291499205,0.335790438,0.41983543,0.291499205,0.326712243,20180724,A1,2,H2_T,10,Ambient_Low,Ambient,NA,EXP1,85
0.330263529,0.340493735,0.350522381,0.302067742,0.347405506,0.343471214,0.309409332,0.347279531,0.280198618,0.29878122,20180724,A2,2,H2_T,10,Ambient_Low,Ambient,NA,EXP1,86
0.079294374,0.088876456,0.362280268,0.090745506,0.09535034,0.359212088,0.099909276,0.216270989,0.35217589,0.278661371,20180724,A3,2,H2_T,10,Ambient_Low,Ambient,NA,EXP1,87
0.229192269,0.235365965,0.163330619,0.214453085,0.230749881,0.161750503,0.213296628,0.262386018,0.164459975,0.211483605,20180724,A4,2,H3_T,10,Low_Ambient,Low,NA,EXP1,88
0.150011193,0.156189665,0.102227816,0.170598831,0.166452337,0.100646478,0.170036428,0.167074912,0.102911516,0.170036428,20180724,A5,2,H3_T,10,Low_Ambient,Low,NA,EXP1,89
0.255595966,0.262181743,0.238897376,0.243962927,0.247312732,0.212634061,0.243363448,0.272965525,0.212634061,0.243363448,20180724,A6,2,H3_T,10,Low_Ambient,Low,NA,EXP1,90
0.140378245,0.140378245,0.30706337,0.324432999,0.158263878,0.290462924,0.333820203,0.197561352,0.299850129,0.293368309,20180724,B1,2,H2_B,10,Ambient_Ambient,Ambient,NA,EXP1,91
0.216508204,0.087466769,0.049705916,0.067732877,0.225151957,0.032477247,0.067732877,0.218089938,0.032477247,0.161762109,20180724,B2,2,H2_B,10,Ambient_Ambient,Ambient,NA,EXP1,92
0.109766006,0.109766006,0.158913102,-0.10264122,0.089921695,0.141251741,-0.10264122,0.083120238,0.141251741,-0.032936516,20180724,B3,2,H2_B,10,Ambient_Ambient,Ambient,NA,EXP1,93
0.108915262,0.13301104,0.05007055,0.093022903,-0.008419143,0.05007055,0.090492775,0.018846525,0.050801434,0.09016391,20180724,B4,2,H3_B,10,Low_Low,Low,NA,EXP1,94
0.239015617,0.262832976,0.34364468,0.212605272,0.236072674,0.34364468,0.229978104,0.258712001,0.344232203,0.225532136,20180724,B5,2,H3_B,10,Low_Low,Low,NA,EXP1,95
