Measurement Name :,20190116_resp,,Generated On :,"16/01/2019, 16:19:41",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"16/01/2019, 15:55:16",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"16/01/2019, 16:19:14",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
16.01.19 15:55:18,0.03,381.31,357.92,317.13,347.73,360.62,344,339.74,354.16,376.92,356.85,334.45,352.55,342.93,332.34,350.4,342.4,339.21,330.23,327.6,347.2,341.87,348.26,319.74,337.09,,8.5,968,28,9.37,
16.01.19 15:55:33,0.28,368.74,353.08,309.86,342.4,355.77,339.21,334.98,349.33,372.01,350.94,330.75,341.34,338.15,327.6,346.13,338.15,331.81,325.5,321.31,344,335.5,342.4,316.61,333.92,,8.5,968,28,9.43,
16.01.19 15:55:48,0.53,362.78,352.55,310.9,342.4,356.85,338.15,337.09,350.4,372.55,352.01,330.23,340.27,337.62,326.02,345.06,338.68,331.81,325.5,318.7,344,333.92,342.4,316.61,332.34,,8.5,968,28,9.47,
16.01.19 15:56:03,0.78,360.08,352.55,305.21,340.81,354.69,337.09,336.03,348.26,369.83,350.94,328.65,339.21,337.09,322.88,341.87,337.62,331.28,324.97,317.65,343.46,332.86,341.87,315.05,331.81,,8.5,968,28,9.52,
16.01.19 15:56:18,1.03,355.77,350.94,302.12,339.74,354.16,334.98,335.5,348.26,368.74,350.4,328.65,339.21,335.5,319.22,340.27,337.09,329.7,322.88,314.01,343.46,331.81,341.34,312.45,330.75,,8.5,968,28,9.55,
16.01.19 15:56:33,1.28,356.31,355.23,306.76,341.34,357.92,338.15,336.03,348.8,372.01,353.62,329.17,340.27,339.21,320.26,342.4,339.74,332.34,326.02,314.01,344.53,334.98,344.53,312.45,331.81,,8.5,968,28,9.59,
16.01.19 15:56:48,1.53,346.66,350.4,303.15,337.62,353.08,333.39,332.86,345.6,367.11,349.33,326.02,338.68,334.45,314.01,338.68,336.56,327.07,321.31,310.38,341.87,329.7,339.74,310.9,328.12,,8.5,968,28,9.63,
16.01.19 15:57:03,1.78,344,350.94,304.69,336.56,352.55,331.81,331.28,345.06,367.11,348.26,323.92,338.15,333.39,311.41,337.62,334.98,325.5,320.26,308.31,341.34,328.12,339.21,310.9,327.07,,8.5,968,28,9.66,
16.01.19 15:57:18,2.03,343.46,353.62,308.82,337.09,354.16,334.45,331.81,346.13,368.74,351.48,325.5,339.74,334.98,313.49,338.15,336.56,327.6,322.35,308.82,341.87,328.12,341.34,311.41,328.12,,8.5,968,28,9.7,
16.01.19 15:57:33,2.28,341.87,351.48,304.18,337.09,354.69,333.92,332.34,345.6,367.66,352.01,324.97,339.74,334.98,313.49,338.15,338.15,327.07,322.88,308.82,342.4,327.07,341.34,313.49,326.55,,8.5,968,28,9.73,
16.01.19 15:57:48,2.53,337.09,352.55,301.6,335.5,354.69,333.92,330.23,345.06,366.57,351.48,323.92,340.81,334.98,312.97,337.62,337.62,326.55,322.88,311.41,342.4,326.02,341.34,311.93,326.02,,8.5,968,28,9.73,
16.01.19 15:58:03,2.78,332.86,346.66,297.49,330.75,349.87,329.17,327.6,341.87,362.24,347.73,320.78,338.15,330.23,309.34,333.39,333.92,320.78,317.65,306.76,339.74,320.78,336.56,305.72,322.88,,8.5,968,28,9.77,
16.01.19 15:58:19,3.05,334.45,349.87,294.93,333.39,353.62,332.34,329.7,342.93,365.49,350.4,321.83,339.74,332.86,312.97,334.98,335.5,322.88,320.78,308.31,340.81,324.45,340.27,308.31,324.45,,8.5,968,28,9.8,
16.01.19 15:58:34,3.3,328.65,345.6,287.79,330.23,348.8,326.55,325.5,339.21,359.54,346.13,317.65,337.09,327.6,307.27,330.75,331.81,317.65,316.09,303.66,338.68,318.7,334.98,302.63,320.78,,8.5,968,28,9.82,
16.01.19 15:58:49,3.55,327.6,345.06,285.25,330.23,347.2,326.55,324.97,339.21,359.54,346.13,317.13,338.15,329.7,307.79,331.28,331.81,316.61,315.57,303.66,338.15,317.13,334.45,302.12,319.74,,8.5,968,28,9.84,
16.01.19 15:59:04,3.8,324.45,344,285.76,328.12,347.73,326.02,324.45,337.09,357.92,345.6,316.09,336.56,327.6,306.24,330.75,330.75,315.05,314.53,303.15,337.62,317.13,334.45,300.57,318.17,,8.5,968,28,9.86,
16.01.19 15:59:19,4.05,327.6,346.13,286.27,329.17,350.94,328.65,326.02,339.74,362.24,349.33,318.17,339.21,330.75,309.86,332.86,332.86,317.65,317.65,307.27,339.21,321.31,337.62,302.12,320.78,,8.5,968,28,9.88,
16.01.19 15:59:34,4.3,321.83,341.34,280.69,326.55,347.2,324.97,322.35,336.56,356.85,345.06,315.05,336.56,326.02,304.69,329.7,329.7,312.97,312.97,305.21,337.09,317.65,332.34,300.06,317.13,,8.5,968,28,9.89,
16.01.19 15:59:49,4.55,320.26,341.34,279.18,326.02,346.66,324.45,321.83,335.5,356.31,345.06,313.49,336.03,326.02,304.69,329.17,330.23,311.41,311.41,300.06,336.56,315.05,331.81,300.06,316.09,,8.5,968,28,9.91,
16.01.19 16:00:04,4.8,322.35,344,280.19,327.07,348.8,327.07,322.88,336.56,357.38,347.73,314.53,337.62,327.6,307.27,331.81,331.28,314.01,314.53,303.15,338.15,317.65,335.5,300.57,317.65,,8.5,968,28,9.93,
16.01.19 16:00:19,5.05,316.61,339.74,280.19,323.4,345.06,322.88,319.22,333.39,351.48,343.46,311.41,334.45,323.92,302.12,328.65,328.12,309.34,309.86,299.03,335.5,312.97,331.28,296.47,314.01,,8.5,968,28,9.95,
16.01.19 16:00:34,5.3,315.57,338.68,283.73,323.4,345.06,322.35,319.74,333.92,351.48,343.46,311.93,334.45,323.4,302.12,329.7,328.65,308.82,309.34,302.12,336.03,312.45,330.75,297.49,314.01,,8.5,968,28,9.96,
16.01.19 16:00:49,5.55,312.97,337.09,286.77,323.4,344,320.78,317.13,331.81,348.8,344,310.38,333.39,322.35,300.06,328.12,326.55,307.79,307.79,301.6,334.98,311.41,330.23,293.91,312.45,,8.5,968,28,9.98,
16.01.19 16:01:04,5.8,312.97,336.03,285.76,323.4,343.46,320.78,315.57,331.28,347.73,343.46,309.86,332.34,321.83,299.55,329.17,326.55,306.76,307.27,302.63,335.5,309.86,329.17,292.89,312.97,,8.5,968,28,9.98,
16.01.19 16:01:19,6.05,311.41,335.5,287.79,321.31,342.4,319.74,315.05,331.28,345.6,343.46,308.31,332.86,319.74,300.06,327.6,325.5,305.72,306.76,303.66,333.92,308.31,328.12,288.3,312.45,,8.5,968,28,10,
16.01.19 16:01:34,6.3,310.9,334.98,290.34,320.78,342.4,318.7,314.01,330.23,344.53,342.93,307.79,332.34,319.22,299.55,328.12,324.45,303.66,306.24,304.18,333.39,306.76,327.6,288.3,311.41,,8.5,968,28,10,
16.01.19 16:01:49,6.55,312.45,338.15,292.89,321.83,344,321.83,315.05,330.75,346.66,346.13,308.82,333.92,321.31,302.12,330.23,325.5,306.24,309.34,307.27,334.45,308.82,330.75,289.83,312.97,,8.5,968,28,10.02,
16.01.19 16:02:04,6.8,312.97,339.21,294.93,320.78,344.53,322.35,315.05,331.28,346.13,346.13,307.79,333.39,320.26,303.15,331.81,324.45,305.72,309.86,306.76,334.45,308.82,331.28,289.83,311.93,,8.5,968,28,10.02,
16.01.19 16:02:19,7.05,309.86,337.62,294.93,319.74,342.93,320.78,313.49,329.7,342.93,344.53,307.79,332.86,319.22,301.6,331.81,322.88,304.18,307.79,304.69,333.39,306.24,329.7,287.28,311.41,,8.5,968,28,10.02,
16.01.19 16:02:34,7.3,306.24,333.39,293.4,317.65,340.27,316.61,310.9,327.6,338.68,342.4,304.69,330.75,316.09,297.49,330.23,320.26,299.55,305.21,301.6,331.81,300.57,326.02,284.74,309.34,,8.5,968,28,10.03,
16.01.19 16:02:49,7.55,302.63,333.92,294.42,317.65,339.74,316.61,310.38,327.6,337.62,341.87,304.18,328.65,316.09,299.03,329.17,320.26,299.55,304.69,302.12,332.86,301.09,326.55,283.22,307.79,,8.5,968,28,10.04,
16.01.19 16:03:04,7.8,303.66,337.09,294.93,318.17,343.46,321.31,310.9,328.65,340.27,345.06,305.72,328.65,318.17,302.12,330.23,321.83,301.6,306.76,304.18,333.39,304.69,329.7,284.24,309.86,,8.5,968,28,10.05,
16.01.19 16:03:19,8.05,296.47,329.7,292.89,314.53,338.68,316.09,307.27,326.55,335.5,341.87,302.63,324.97,314.53,297.49,326.55,318.17,297.49,300.57,301.6,330.75,299.03,324.97,282.72,306.24,,8.5,968,28,10.05,
16.01.19 16:03:34,8.3,293.91,329.7,292.38,314.01,338.15,315.57,307.27,326.02,333.92,341.34,302.12,324.45,312.45,296.98,325.5,318.7,296.98,299.55,301.09,330.75,297.49,324.97,281.7,305.21,,8.5,968,28,10.03,
16.01.19 16:03:49,8.55,291.36,329.17,291.87,312.97,338.15,315.05,306.24,324.97,332.86,340.81,301.09,323.4,312.97,295.96,323.92,317.65,295.96,296.98,299.03,330.23,296.98,324.45,282.21,304.69,,8.5,968,28,10.05,
16.01.19 16:04:04,8.8,294.93,333.39,293.4,315.05,341.87,318.7,308.31,327.07,333.92,344.53,303.15,327.07,315.57,299.55,325.5,320.26,299.03,301.09,300.06,331.81,300.57,328.12,284.24,306.24,,8.5,968,28,10.07,
16.01.19 16:04:19,9.05,292.89,333.39,292.38,314.01,341.34,318.7,307.79,326.02,332.34,344.53,303.15,326.02,315.05,299.03,324.97,319.22,298.52,300.06,300.06,331.81,298.52,327.07,283.73,305.72,,8.5,968,28,10.05,
16.01.19 16:04:34,9.3,291.36,331.28,291.36,314.01,340.81,317.65,307.27,324.97,331.28,342.93,302.12,325.5,314.01,299.03,323.92,318.7,297.49,299.03,299.03,331.28,297.49,326.55,282.72,304.69,,8.5,968,28,10.07,
16.01.19 16:04:49,9.55,290.34,330.23,290.85,312.45,339.74,316.61,306.76,324.45,330.23,343.46,301.09,324.97,312.97,298.01,321.31,317.65,296.47,298.01,298.01,330.75,297.49,325.5,281.2,304.18,,8.5,968,28,10.07,
16.01.19 16:05:04,9.8,287.79,330.23,288.81,310.9,339.21,316.61,306.24,323.92,329.17,342.93,300.57,325.5,312.45,296.98,320.78,316.61,295.44,298.01,295.96,330.23,296.47,324.45,280.19,303.66,,8.5,968,28,10.07,
16.01.19 16:05:19,10.05,286.27,328.65,287.79,310.9,340.27,316.61,306.24,323.4,327.6,342.93,300.57,324.97,311.93,296.98,319.74,315.57,294.93,298.01,293.91,330.23,296.47,325.5,278.17,302.63,,8.5,968,28,10.05,
16.01.19 16:05:34,10.3,280.69,323.92,285.25,307.79,334.45,311.41,302.63,320.78,323.92,339.21,296.98,322.35,307.79,292.38,316.61,312.97,290.85,292.89,289.83,327.6,291.87,320.26,274.64,299.55,,8.5,968,28,10.07,
16.01.19 16:05:49,10.55,283.22,327.07,285.76,309.34,338.68,315.57,305.21,322.35,326.02,341.87,299.03,324.45,310.38,295.44,318.17,315.05,293.91,297.49,292.38,329.17,295.96,323.92,276.15,301.09,,8.5,968,28,10.07,
16.01.19 16:06:04,10.8,278.17,320.26,282.72,306.24,334.45,310.38,302.12,319.22,321.83,337.62,296.47,322.35,306.24,290.34,313.49,310.9,290.34,291.87,289.83,327.07,290.34,319.22,272.13,296.98,,8.5,968,28,10.07,
16.01.19 16:06:19,11.05,277.16,320.78,282.72,305.72,333.92,309.34,301.6,318.17,320.26,337.09,294.42,321.83,305.21,290.34,310.9,310.38,289.83,290.85,287.79,327.07,288.3,319.22,271.62,296.98,,8.5,968,28,10.07,
16.01.19 16:06:34,11.3,276.15,321.31,282.21,305.72,333.39,309.34,301.6,318.17,319.22,337.62,294.42,321.31,305.21,289.83,309.86,309.86,288.3,291.36,287.79,326.55,287.28,318.7,271.62,295.96,,8.5,968,28,10.05,
16.01.19 16:06:49,11.55,278.67,324.45,284.24,307.27,337.09,313.49,302.63,319.22,321.31,341.34,296.98,323.4,307.27,293.4,313.49,310.9,292.38,293.91,288.81,327.6,291.36,321.31,270.12,297.49,,8.5,968,28,10.05,
16.01.19 16:07:04,11.8,274.14,320.78,281.2,304.18,332.86,308.31,299.55,316.61,316.61,337.09,294.42,320.78,303.66,289.32,307.79,308.31,288.81,289.32,286.27,325.5,286.77,315.57,268.12,294.42,,8.5,968,28,10.05,
16.01.19 16:07:19,12.05,276.65,323.4,282.72,306.24,335.5,312.45,300.57,318.17,318.7,340.81,295.96,322.35,306.76,292.38,309.34,309.86,289.83,291.36,288.3,327.07,289.32,318.7,268.12,295.44,,8.5,968,28,10.05,
16.01.19 16:07:34,12.3,274.64,322.88,282.21,304.69,334.45,310.9,299.55,317.13,316.61,339.21,294.42,321.31,304.18,290.34,309.86,308.82,288.81,289.32,290.34,326.02,290.34,317.65,266.62,293.91,,8.5,968,28,10.07,
16.01.19 16:07:50,12.57,275.65,323.92,283.22,304.18,336.56,312.45,300.06,317.13,316.61,340.81,294.93,321.31,304.18,290.85,311.41,308.31,289.83,288.81,291.36,327.07,289.32,318.17,267.12,293.91,,8.5,968,28,10.04,
16.01.19 16:08:05,12.82,270.12,318.17,279.18,302.12,331.28,306.76,296.98,315.05,311.41,335.5,291.87,318.7,299.55,286.27,306.24,305.21,284.74,282.21,287.79,324.97,282.21,312.97,264.12,290.85,,8.5,968,28,10.04,
16.01.19 16:08:20,13.07,272.63,321.83,281.7,304.18,334.98,310.9,298.52,316.09,314.53,339.74,293.4,321.31,302.63,289.32,306.76,307.27,288.3,285.76,291.36,325.5,286.77,317.13,267.62,290.85,,8.5,968,28,10.03,
16.01.19 16:08:35,13.32,272.13,320.78,281.7,303.15,333.92,310.9,298.52,315.57,313.49,339.74,293.4,320.78,302.63,287.79,309.34,306.24,287.79,285.25,290.34,325.5,285.25,317.13,266.12,290.34,,8.5,968,28,10.05,
16.01.19 16:08:50,13.57,271.12,320.26,282.21,302.12,333.92,310.38,298.52,315.05,312.45,339.21,292.89,320.78,302.12,287.79,308.82,305.21,288.3,284.24,289.83,324.97,284.74,316.61,265.62,288.81,,8.5,968,28,10.04,
16.01.19 16:09:05,13.82,266.62,315.05,279.68,301.09,330.23,306.24,296.47,312.97,308.31,334.98,290.34,317.65,298.01,283.22,306.76,302.63,284.24,279.18,288.81,323.4,280.19,311.93,264.12,286.77,,8.5,968,28,10.03,
16.01.19 16:09:20,14.07,269.62,318.17,280.69,301.09,332.86,309.34,296.98,314.01,310.38,339.21,291.87,319.74,300.57,285.76,307.79,303.66,287.28,281.7,290.85,324.45,284.24,315.05,265.12,287.28,,8.5,968,28,10.02,
16.01.19 16:09:35,14.32,269.12,316.61,280.69,300.57,333.39,308.82,298.01,314.01,309.34,339.21,291.36,318.7,300.06,285.25,306.24,303.66,284.74,281.2,287.79,324.45,283.22,315.05,265.62,286.27,,8.5,968,28,10.02,
16.01.19 16:09:50,14.57,264.12,310.9,279.18,298.01,328.12,304.69,295.44,310.9,304.69,334.98,288.81,316.61,295.96,281.2,305.21,301.09,281.2,276.65,285.25,322.88,278.17,310.9,264.12,284.24,,8.5,968,28,10.03,
16.01.19 16:10:05,14.82,267.62,315.05,280.69,300.06,332.86,308.31,298.01,312.45,308.31,338.15,291.36,318.7,299.55,283.73,306.24,302.63,284.24,280.19,289.32,322.88,282.21,316.09,266.12,285.25,,8.5,968,28,10.02,
16.01.19 16:10:20,15.07,262.13,309.34,277.66,296.47,327.6,303.66,294.42,309.34,302.63,333.92,287.79,315.57,295.44,277.66,304.18,300.57,280.69,274.64,286.27,320.78,277.66,311.41,263.12,282.72,,8.5,968,28,10.02,
16.01.19 16:10:35,15.32,261.63,308.31,277.66,296.47,328.12,303.66,294.42,309.34,302.63,334.45,287.28,315.57,294.42,278.17,303.15,300.06,279.18,274.64,287.28,320.78,277.16,311.41,263.12,281.7,,8.5,968,28,10,
16.01.19 16:10:50,15.57,265.12,312.45,279.68,298.01,332.34,306.76,296.47,310.9,305.72,338.15,288.81,317.65,296.98,281.2,305.72,302.12,281.7,277.66,289.83,322.88,280.19,315.05,264.12,283.22,,8.5,968,28,10,
16.01.19 16:11:05,15.82,264.62,312.45,279.68,296.98,330.75,306.76,295.44,308.82,304.69,337.09,288.3,316.09,296.98,280.69,306.76,301.6,280.69,277.16,290.34,322.35,279.18,315.05,263.62,282.72,,8.5,968,28,10,
16.01.19 16:11:20,16.07,264.12,311.93,279.18,296.47,330.75,306.24,295.44,307.27,303.66,336.56,288.3,315.57,296.47,279.18,303.66,301.09,280.69,276.65,290.85,321.83,278.67,314.53,262.63,281.7,,8.5,968,28,10,
16.01.19 16:11:35,16.32,259.14,306.76,278.17,293.4,326.02,302.12,293.91,303.66,299.55,333.92,285.25,312.97,292.38,275.65,303.15,300.06,275.65,272.63,287.79,319.22,274.64,310.38,259.64,280.19,,8.5,968,28,9.97,
16.01.19 16:11:50,16.57,258.15,305.21,276.65,293.91,326.02,301.6,294.42,304.18,298.52,333.39,284.74,313.49,291.36,275.14,305.21,299.55,276.15,271.62,288.3,319.22,274.64,310.38,259.64,280.19,,8.5,968,28,9.96,
16.01.19 16:12:05,16.82,262.13,310.9,278.67,296.47,330.23,306.24,296.98,306.24,302.63,337.09,287.28,315.05,294.42,279.18,307.27,301.6,277.66,274.64,290.85,321.31,277.16,313.49,261.63,280.69,,8.5,968,28,9.96,
16.01.19 16:12:20,17.07,260.63,308.82,278.17,294.42,329.17,305.21,294.93,305.21,302.12,336.03,286.77,314.01,293.91,277.16,304.18,300.57,276.65,274.14,289.83,320.78,275.65,313.49,260.14,284.24,,8.5,968,28,9.95,
16.01.19 16:12:35,17.32,256.66,304.18,276.65,292.38,325.5,300.06,293.4,302.63,298.52,332.86,284.24,312.45,289.83,273.63,303.15,299.03,273.13,270.12,288.3,319.22,272.13,308.82,256.66,281.2,,8.5,968,28,9.95,
16.01.19 16:12:50,17.57,263.62,308.31,278.17,294.42,328.65,304.69,293.4,304.18,301.6,336.03,286.27,314.01,292.38,276.65,305.21,300.06,275.14,273.63,290.85,320.26,274.14,312.97,258.15,282.72,,8.5,968,28,9.95,
16.01.19 16:13:05,17.82,261.63,303.66,276.65,290.85,324.97,300.06,289.83,301.09,298.01,331.81,283.22,310.9,288.3,272.13,303.15,296.98,272.13,271.12,288.81,318.7,270.12,308.82,254.68,276.15,,8.5,968,28,9.93,
16.01.19 16:13:20,18.07,266.12,307.27,278.17,292.38,327.6,303.66,291.36,302.63,302.12,336.03,284.74,312.97,291.36,275.14,303.66,299.03,275.14,274.14,292.38,319.74,274.14,311.93,257.16,279.18,,8.5,968,28,9.93,
16.01.19 16:13:35,18.32,266.62,307.27,278.67,293.4,328.12,303.15,288.3,302.12,302.12,335.5,285.25,312.45,290.34,275.14,305.21,299.03,274.64,274.14,292.89,319.22,273.13,311.93,256.17,282.21,,8.5,968,28,9.93,
16.01.19 16:13:50,18.57,265.12,305.72,277.66,291.87,327.6,302.63,286.77,301.09,301.09,333.92,284.24,310.9,289.83,273.13,304.18,298.52,274.14,274.64,293.4,318.7,272.13,310.9,255.18,281.2,,8.5,968,28,9.93,
16.01.19 16:14:05,18.82,262.13,301.6,277.66,289.32,323.4,299.03,283.73,299.03,298.52,331.81,281.7,309.34,286.77,269.62,303.66,296.47,270.62,272.13,289.83,317.13,268.62,307.79,252.21,280.19,,8.5,968,28,9.91,
16.01.19 16:14:20,19.07,265.12,306.24,279.68,290.85,327.07,302.63,285.76,300.57,302.12,334.45,283.22,308.82,288.81,272.63,305.72,298.01,273.63,275.14,293.4,318.17,271.62,310.9,254.68,281.2,,8.5,968,28,9.91,
16.01.19 16:14:35,19.32,261.13,300.57,278.17,288.81,322.35,297.49,284.24,297.49,297.49,330.23,281.2,305.21,285.25,268.62,303.15,296.47,270.12,271.12,291.36,316.61,267.12,307.79,252.7,279.18,,8.5,968,28,9.88,
16.01.19 16:14:50,19.57,264.12,305.72,281.2,290.34,327.07,302.63,285.76,300.06,300.06,334.45,283.22,306.76,288.3,271.62,303.66,296.98,274.14,275.14,293.4,317.13,271.12,311.41,253.69,280.69,,8.5,968,28,9.87,
16.01.19 16:15:05,19.82,265.12,305.21,283.22,289.32,326.02,302.12,287.28,299.55,298.52,334.45,282.72,305.72,288.3,272.63,305.21,298.52,272.63,274.14,293.4,318.17,271.62,310.9,253.2,278.67,,8.5,968,28,9.87,
16.01.19 16:15:20,20.07,264.12,304.18,282.21,289.32,326.55,301.6,286.27,298.52,297.49,333.92,282.21,305.21,287.28,270.62,302.12,296.98,272.13,272.63,292.89,317.13,270.62,310.38,252.21,274.14,,8.5,968,28,9.87,
16.01.19 16:15:35,20.32,263.62,304.69,282.72,288.3,325.5,301.09,285.76,298.01,296.47,333.39,282.21,304.69,286.77,270.62,300.06,295.96,269.62,271.12,293.4,316.61,270.12,309.34,251.72,269.62,,8.5,968,28,9.86,
16.01.19 16:15:50,20.57,263.12,303.66,281.7,287.28,325.5,300.57,286.77,296.98,295.44,333.39,281.7,304.18,286.27,269.12,300.06,294.93,270.12,270.12,292.38,316.61,270.12,309.34,251.72,268.62,,8.5,968,28,9.86,
16.01.19 16:16:05,20.82,262.63,303.15,281.7,287.28,324.97,300.57,285.25,297.49,294.93,332.86,281.7,304.69,286.27,268.12,302.12,294.42,269.12,269.12,291.87,316.61,269.12,309.34,250.73,268.62,,8.5,968,28,9.84,
16.01.19 16:16:20,21.07,257.65,298.52,280.19,285.76,321.83,296.47,283.73,294.42,290.34,329.7,279.68,302.63,283.22,264.12,301.6,292.38,265.12,263.62,288.81,315.05,266.12,305.21,250.24,265.62,,8.5,968,28,9.84,
16.01.19 16:16:35,21.32,258.65,302.12,280.69,287.79,324.45,300.06,285.76,295.96,292.89,332.86,281.2,304.18,284.74,267.12,302.12,293.4,268.62,266.12,290.34,315.57,268.62,308.31,250.24,266.62,,8.5,968,28,9.84,
16.01.19 16:16:50,21.57,254.68,297.49,278.67,285.25,320.26,295.44,283.22,292.89,288.81,328.12,279.18,301.6,281.2,261.63,298.01,290.85,263.12,261.13,287.79,313.49,263.12,303.66,250.73,264.12,,8.5,968,28,9.82,
16.01.19 16:17:05,21.82,253.69,296.98,279.18,283.73,319.74,294.93,282.72,291.87,290.34,327.6,279.18,301.09,280.69,261.13,299.03,289.32,262.63,260.63,285.76,313.49,264.12,303.66,251.22,263.12,,8.5,968,28,9.82,
16.01.19 16:17:20,22.07,257.16,301.6,281.2,285.25,323.4,299.03,283.73,293.91,295.96,331.81,280.69,303.15,283.73,264.62,303.66,291.36,267.62,264.62,287.79,314.53,268.62,307.79,253.2,264.12,,8.5,968,28,9.82,
16.01.19 16:17:35,22.32,253.69,295.96,278.67,282.72,319.74,294.42,282.72,291.87,291.87,328.12,278.67,301.09,280.19,260.14,301.6,289.32,263.12,259.64,288.3,312.97,264.62,303.66,251.72,261.13,,8.5,968,28,9.79,
16.01.19 16:17:50,22.57,251.72,295.96,278.67,281.7,319.22,294.93,281.2,291.87,290.85,328.12,279.18,301.09,280.19,258.15,301.09,288.3,266.62,259.64,284.74,312.45,264.12,303.15,251.72,260.14,,8.5,968,28,9.79,
16.01.19 16:18:05,22.82,251.72,295.96,277.66,280.69,319.22,294.42,281.2,290.85,290.85,327.6,279.18,301.09,279.68,258.15,302.12,286.77,263.62,258.65,283.73,312.97,264.12,302.63,252.21,259.64,,8.5,968,28,9.79,
16.01.19 16:18:20,23.07,251.72,295.96,277.66,281.7,318.7,293.91,280.19,289.83,290.85,327.6,278.17,300.57,279.68,256.66,301.6,287.79,263.12,257.65,282.21,311.93,263.62,302.12,251.72,258.65,,8.5,968,28,9.78,
16.01.19 16:18:35,23.32,250.24,295.44,277.66,281.2,317.65,294.42,280.69,290.34,291.36,327.07,278.67,300.57,278.67,256.17,301.09,287.79,262.13,256.66,280.69,312.45,263.12,302.12,251.22,257.65,,8.5,968,28,9.77,
16.01.19 16:18:50,23.57,254.68,300.06,279.18,281.7,322.35,297.49,282.21,291.36,293.91,331.28,281.7,301.6,281.7,260.14,302.63,288.3,264.12,259.64,279.18,312.97,266.62,305.72,253.2,259.64,,8.5,968,28,9.75,
16.01.19 16:19:09,23.88,253.69,298.52,278.67,281.2,321.83,296.47,283.22,291.36,293.4,330.23,281.7,301.6,281.7,259.64,301.6,288.81,266.62,257.16,277.16,312.97,266.62,306.24,252.7,258.15,,8.5,968,28,9.75,
